"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2020-12-31 23:00:00","2021-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,82894,82894,0.023317424580455,0,0
"2021-01-01 00:00:00","2021-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,95906,95906,0.026977149769664,0,0
"2021-01-01 01:00:00","2021-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,122117,122117,0.034349400550127,0,0
"2021-01-01 02:00:00","2021-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,87353,87353,0.024570500478148,0,0
"2021-01-01 03:00:00","2021-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,59687,59687,0.016788374632597,0,0
"2021-01-01 04:00:00","2021-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,53359,53359,0.015008174814284,0,0
"2021-01-01 05:00:00","2021-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,78435,78435,0.02206090092659,0,0
"2021-01-01 06:00:00","2021-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,66342,66342,0.018659275025129,0,0
"2021-01-01 07:00:00","2021-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,51669,51669,0.014532100409269,0,0
"2021-01-01 08:00:00","2021-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,82930,82930,0.023323999717832,0,0
"2021-01-01 09:00:00","2021-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,66653,66653,0.018745800480247,0,0
"2021-01-01 10:00:00","2021-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,99584,99584,0.028006950393319,0,0
"2021-01-01 11:00:00","2021-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,168967,168967,0.047519326210022,0,0
"2021-01-01 12:00:00","2021-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,266904,266904,0.075061403214931,0,0
"2021-01-01 13:00:00","2021-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,262757,262757,0.073893874883652,0,0
"2021-01-01 14:00:00","2021-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,233661,233661,0.06571027636528,0,0
"2021-01-01 15:00:00","2021-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,224996,224996,0.063272371888161,0,0
"2021-01-01 16:00:00","2021-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,266163,266163,0.074847899377346,0,0
"2021-01-01 17:00:00","2021-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,297315,297315,0.08360680192709,0,0
"2021-01-01 18:00:00","2021-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,326975,326975,0.091945797204971,0,0
"2021-01-01 19:00:00","2021-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,275831,275831,0.077562749385834,0,0
"2021-01-01 20:00:00","2021-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,249727,249727,0.070221178233624,0,0
"2021-01-01 21:00:00","2021-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,236033,236033,0.066369399428368,0,0
"2021-01-01 22:00:00","2021-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,251448,251448,0.070702746510506,0,0
"2021-01-01 23:00:00","2021-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,227277,227277,0.063905149698257,0,0
"2021-01-02 00:00:00","2021-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,249859,249859,0.070253498852253,0,0
"2021-01-02 01:00:00","2021-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,217369,217369,0.061117175966501,0,0
"2021-01-02 02:00:00","2021-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,185581,185581,0.052178550511599,0,0
"2021-01-02 03:00:00","2021-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,169553,169553,0.047671224921942,0,0
"2021-01-02 04:00:00","2021-01-02 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,194237,194237,0.054610401391983,0,0
"2021-01-02 05:00:00","2021-01-02 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,154245,154245,0.043365824967623,0,0
"2021-01-02 06:00:00","2021-01-02 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,119630,119630,0.033633250743151,0,0
"2021-01-02 07:00:00","2021-01-02 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,138642,138642,0.038977723568678,0,0
"2021-01-02 08:00:00","2021-01-02 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,120416,120416,0.033853098750114,0,0
"2021-01-02 09:00:00","2021-01-02 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,124733,124733,0.035066124051809,0,0
"2021-01-02 10:00:00","2021-01-02 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,133044,133044,0.037401974201202,0,0
"2021-01-02 11:00:00","2021-01-02 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,124075,124075,0.034879948943853,0,0
"2021-01-02 12:00:00","2021-01-02 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,102439,102439,0.028797175735235,0,0
"2021-01-02 13:00:00","2021-01-02 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,78235,78235,0.021992700174451,0,0
"2021-01-02 14:00:00","2021-01-02 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,15485,15485,0.0043529425747693,0,0
"2021-01-02 15:00:00","2021-01-02 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,0,0,0,0,0
"2021-01-02 16:00:00","2021-01-02 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,0,0,0,0,0
"2021-01-02 17:00:00","2021-01-02 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3751,3751,0.0010543692624196,0,0
"2021-01-02 18:00:00","2021-01-02 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5892,5892,0.0016561700031161,0,0
"2021-01-02 19:00:00","2021-01-02 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,0,0,0,0,0
"2021-01-02 20:00:00","2021-01-02 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,0,0,0,0,0
"2021-01-02 21:00:00","2021-01-02 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,0,0,0,0,0
"2021-01-02 22:00:00","2021-01-02 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,0,0,0,0,0
"2021-01-02 23:00:00","2021-01-03 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,19201,19201,0.0053966823033988,0,0
"2021-01-03 00:00:00","2021-01-03 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,30323,30323,0.0085225198417902,0,0
"2021-01-03 01:00:00","2021-01-03 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,32306,32306,0.0090796900913119,0,0
"2021-01-03 02:00:00","2021-01-03 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,56692,56692,0.01593317463994,0,0
"2021-01-03 03:00:00","2021-01-03 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,66277,66277,0.018626725301147,0,0
"2021-01-03 04:00:00","2021-01-03 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,79625,79625,0.022377725690603,0,0
"2021-01-03 05:00:00","2021-01-03 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,156980,156980,0.044116698205471,0,0
"2021-01-03 06:00:00","2021-01-03 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,234911,234911,0.066016875207424,0,0
"2021-01-03 07:00:00","2021-01-03 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,272443,272443,0.07656317204237,0,0
"2021-01-03 08:00:00","2021-01-03 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,302187,302187,0.084920525550842,0,0
"2021-01-03 09:00:00","2021-01-03 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,439631,439631,0.12354274839163,0,0
"2021-01-03 10:00:00","2021-01-03 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,631654,631654,0.17750124633312,0,0
"2021-01-03 11:00:00","2021-01-03 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,877483,877483,0.246577501297,0,0
"2021-01-03 12:00:00","2021-01-03 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1287887,1287887,0.36189699172974,0,0
"2021-01-03 13:00:00","2021-01-03 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1765159,1765159,0.49600249528885,0,0
