"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2020-12-31 23:00:00","2021-01-01 00:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,662593,662593,0.66259402036667,0,0
"2021-01-01 00:00:00","2021-01-01 01:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,675321,675321,0.67532098293304,0,0
"2021-01-01 01:00:00","2021-01-01 02:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,588699,588699,0.58869874477386,0,0
"2021-01-01 02:00:00","2021-01-01 03:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,487599,487599,0.48759925365448,0,0
"2021-01-01 03:00:00","2021-01-01 04:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,392943,392943,0.39294299483299,0,0
"2021-01-01 04:00:00","2021-01-01 05:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,413943,413943,0.41394224762917,0,0
"2021-01-01 05:00:00","2021-01-01 06:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,433669,433669,0.43366900086403,0,0
"2021-01-01 06:00:00","2021-01-01 07:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,446476,446476,0.44647523760796,0,0
"2021-01-01 07:00:00","2021-01-01 08:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,546302,546302,0.54630202054977,0,0
"2021-01-01 08:00:00","2021-01-01 09:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,641197,641197,0.64119702577591,0,0
"2021-01-01 09:00:00","2021-01-01 10:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,743728,743728,0.74372798204422,0,0
"2021-01-01 10:00:00","2021-01-01 11:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,778408,778408,0.77840900421143,0,0
"2021-01-01 11:00:00","2021-01-01 12:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,807681,807681,0.80768048763275,0,0
"2021-01-01 12:00:00","2021-01-01 13:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,805692,805692,0.80569225549698,0,0
"2021-01-01 13:00:00","2021-01-01 14:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,806964,806964,0.80696475505829,0,0
"2021-01-01 14:00:00","2021-01-01 15:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,847134,847134,0.84713423252106,0,0
"2021-01-01 15:00:00","2021-01-01 16:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,856919,856919,0.85691750049591,0,0
"2021-01-01 16:00:00","2021-01-01 17:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,905439,905439,0.90543901920319,0,0
"2021-01-01 17:00:00","2021-01-01 18:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,936939,936939,0.93693822622299,0,0
"2021-01-01 18:00:00","2021-01-01 19:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,935347,935347,0.93534725904465,0,0
"2021-01-01 19:00:00","2021-01-01 20:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,918484,918484,0.91848427057266,0,0
"2021-01-01 20:00:00","2021-01-01 21:00:00",Nederland,BiomassPower,Hour,UTC,Providing,Current,919359,919359,0.91935950517654,0,0
